Tietuetunnus,Ajopäivämäärä,Postinumero,Postinumeron nimi suomeksi,Postinumeron nimi ruotsiksi,Postinumeron nimen lyhenne suomeksi,Postinumeron nimen lyhenne ruotsiksi,Voimaantulopäivämäärä,Tyyppikoodi,Hallinnollisen alueen koodi ,Hallinnollisen alueen nimi suomeksi,Hallinnollisen alueen ruotsiksi,Kunnan koodi,Kunnan nimi suomeksi,Kunnan nimi ruotsiksi,Kunnan kielisuhdekoodi
PONOT,20200721,00200,HELSINKI,HELSINGFORS,HKI,HFORS,19881001,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,091,Helsinki,Helsingfors,2
PONOT,20200721,05820,HYVINKÄÄ,HYVINKÄÄ,HVNK,,19660708,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,106,Hyvinkää,Hyvinge,1
PONOT,20200721,11311,RIIHIMÄKI,RIIHIMÄKI,RMK,,19940415,2,FI1C2,Kanta-Häme,Egentliga Tavastland,694,Riihimäki,Riihimäki,1
PONOT,20200721,16901,LAMMI,LAMMI,,,19900101,2,FI1C2,Kanta-Häme,Egentliga Tavastland,109,Hämeenlinna,Tavastehus,1
PONOT,20200721,27511,EURA,EURA,,,19951101,2,FI196,Satakunta,Satakunda,050,Eura,Eura,1
PONOT,20200721,35270,VÄSTILÄ,VÄSTILÄ,,,19860101,1,FI197,Pirkanmaa,Birkaland,562,Orivesi,Orivesi,1
PONOT,20200721,54101,JOUTSENO,JOUTSENO,,,19960308,2,FI1C5,Etelä-Karjala,Södra Karelen,405,Lappeenranta,Villmanstrand,1
PONOT,20200721,60510,HYLLYKALLIO,HYLLYKALLIO,,,19880506,1,FI194,Etelä-Pohjanmaa,Södra Österbotten,743,Seinäjoki,Seinäjoki,1
PONOT,20200721,63150,RUONA,RUONA,,,19860101,1,FI194,Etelä-Pohjanmaa,Södra Österbotten,300,Kuortane,Kuortane,1
PONOT,20200721,72380,HORONTAIPALE,HORONTAIPALE,,,19880501,1,FI1D2,Pohjois-Savo,Norra Savolax,921,Vesanto,Vesanto,1
PONOT,20200721,82590,NÄRSÄKKÄLÄ,NÄRSÄKKÄLÄ,,,19880512,1,FI1D3,Pohjois-Karjala,Norra Karelen,260,Kitee,Kitee,1
PONOT,20200721,86650,KYTÖKYLÄ,KYTÖKYLÄ,,,19860101,1,FI1D6,Pohjois-Pohjanmaa,Norra Österbotten,071,Haapavesi,Haapavesi,1
PONOT,20200721,87101,KAJAANI,KAJAANI,,,19950822,2,FI1D4,Kainuu,Kajanaland,205,Kajaani,Kajana,1
PONOT,20200721,12701,LOPPI,LOPPI,,,19881101,2,FI1C2,Kanta-Häme,Egentliga Tavastland,433,Loppi,Loppi,1
PONOT,20200721,13270,HÄMEENLINNA,HÄMEENLINNA,HML,,19860101,1,FI1C2,Kanta-Häme,Egentliga Tavastland,109,Hämeenlinna,Tavastehus,1
PONOT,20200721,17501,PADASJOKI,PADASJOKI,,,19900101,2,FI1C3,Päijät-Häme,Päijänne-Tavastland,576,Padasjoki,Padasjoki,1
PONOT,20200721,21251,MASKU,MASKU,,,19951101,2,FI1C1,Varsinais-Suomi,Egentliga Finland,481,Masku,Masku,1
PONOT,20200721,25640,FÖRBY,FÖRBY,,,19990517,1,FI1C1,Varsinais-Suomi,Egentliga Finland,734,Salo,Salo,1
PONOT,20200721,38770,LOHIKKO,LOHIKKO,,,19880113,1,FI196,Satakunta,Satakunda,214,Kankaanpää,Kankaanpää,1
PONOT,20200721,41930,KUOHU,KUOHU,,,19961231,1,FI193,Keski-Suomi,Mellersta Finland,179,Jyväskylä,Jyväskylä,1
PONOT,20200721,51930,PAATELA,PAATELA,,,19860101,1,FI1D1,Etelä-Savo,Södra Savolax,178,Juva,Juva,1
